epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.978,0.71882,2.69268,1.28899,0.00446,0.91176,0.50233,0.40434,0.81466,3.36191,1.46872,0.00038341,0.00038341,0.00038341
2,601.147,0.73464,1.89317,1.27926,0.96927,0.27778,0.50633,0.3639,1.01464,3.13866,1.66873,0.000767977,0.000767977,0.000767977
3,894.526,0.79433,1.58473,1.29532,0.62212,0.27778,0.28992,0.21003,1.41103,3.38411,2.22919,0.0011367,0.0011367,0.0011367
4,1188.52,0.77934,1.44758,1.29653,0.4725,0.25142,0.29799,0.16778,2.22113,3.3891,2.6936,0.00148958,0.00148958,0.00148958
5,1490.66,0.81935,1.45547,1.33464,0.30257,0.30719,0.21584,0.1347,2.0476,3.23668,2.56232,0.00153497,0.00153497,0.00153497
6,1787.55,0.79682,1.31542,1.31424,0.61734,0.53268,0.56337,0.41697,1.40107,2.58142,1.90752,0.00150197,0.00150197,0.00150197
7,2080.37,0.79207,1.2363,1.29885,0.37893,0.36601,0.25488,0.10093,1.93116,3.63773,2.63962,0.00146896,0.00146896,0.00146896
8,2378.92,0.80502,1.18682,1.29701,0.48116,0.50327,0.47796,0.38889,1.41798,2.68507,1.96273,0.00143595,0.00143595,0.00143595
9,2670.91,0.75503,1.13648,1.2652,0.40425,0.64706,0.42039,0.33507,1.14584,2.30169,1.97634,0.00140295,0.00140295,0.00140295
10,2961.22,0.74412,1.06611,1.24502,0.87459,0.33207,0.45166,0.33762,1.11475,2.32858,1.60255,0.00136994,0.00136994,0.00136994
11,3255.04,0.67491,1.01174,1.21539,0.74616,0.5,0.36725,0.31759,0.93735,2.60753,1.53275,0.00133693,0.00133693,0.00133693
12,3543.31,0.67988,0.96656,1.22,0.5853,0.6561,0.55436,0.42833,1.15202,2.28107,1.77662,0.00130393,0.00130393,0.00130393
13,3831.41,0.68864,0.9794,1.22085,0.35652,0.39542,0.33962,0.20035,1.27344,2.87165,1.7436,0.00127092,0.00127092,0.00127092
14,4125.82,0.64795,0.89301,1.19339,0.67724,0.50471,0.64658,0.54869,0.94436,2.02071,1.54408,0.00123791,0.00123791,0.00123791
15,4425.47,0.66066,0.83211,1.16783,0.77319,0.48366,0.54769,0.4874,0.81317,1.92032,1.45932,0.00120491,0.00120491,0.00120491
16,4717.22,0.60969,0.79769,1.1564,0.63007,0.54507,0.5982,0.51505,0.88225,1.91476,1.49037,0.0011719,0.0011719,0.0011719
17,5007.93,0.64427,0.84124,1.19413,0.78905,0.6135,0.59952,0.46039,1.2062,1.8225,1.77774,0.00113889,0.00113889,0.00113889
18,5305.4,0.60998,0.77586,1.16414,0.79298,0.64638,0.65186,0.53787,0.99782,1.53934,1.54303,0.00110589,0.00110589,0.00110589
19,5597.31,0.57386,0.73789,1.12923,0.757,0.76471,0.70025,0.60317,0.79683,1.3893,1.36927,0.00107288,0.00107288,0.00107288
20,5901.54,0.57883,0.72286,1.13851,0.63422,0.70426,0.6645,0.59789,0.80294,1.43709,1.43925,0.00103987,0.00103987,0.00103987
21,6201.15,0.59716,0.72282,1.14086,0.67422,0.64081,0.63573,0.53193,0.95863,1.59773,1.60805,0.00100687,0.00100687,0.00100687
22,6493.06,0.57881,0.69827,1.15727,0.80369,0.64182,0.64054,0.55096,0.89987,1.35732,1.39833,0.000973861,0.000973861,0.000973861
23,6790.73,0.58946,0.71196,1.14199,0.45562,0.59477,0.57793,0.51123,0.97266,1.90747,1.47489,0.000940855,0.000940855,0.000940855
24,7087.68,0.54931,0.6339,1.10054,0.70506,0.50654,0.55668,0.47565,0.79235,1.75923,1.48067,0.000907848,0.000907848,0.000907848
25,7382.63,0.52865,0.66703,1.09786,0.63637,0.67647,0.65162,0.54944,0.94014,1.51886,1.58913,0.000874842,0.000874842,0.000874842
26,7670.77,0.53481,0.63464,1.11526,0.50602,0.57149,0.49119,0.41786,0.94354,1.84442,1.51589,0.000841835,0.000841835,0.000841835
27,7960.76,0.55386,0.6024,1.11036,0.88113,0.66905,0.72093,0.66741,0.81617,1.33231,1.37321,0.000808828,0.000808828,0.000808828
28,8253.79,0.52073,0.56883,1.11164,0.84091,0.67647,0.66734,0.6008,0.79457,1.45795,1.41352,0.000775822,0.000775822,0.000775822
29,8546.4,0.51066,0.56102,1.07938,0.97895,0.70324,0.73899,0.63615,0.85575,1.39967,1.44169,0.000742815,0.000742815,0.000742815
30,8838.07,0.5086,0.54193,1.07571,0.65632,0.6185,0.595,0.52449,0.84584,1.62143,1.39208,0.000709809,0.000709809,0.000709809
31,9136.22,0.50385,0.56041,1.08768,0.8731,0.56209,0.63597,0.54981,0.91612,1.58847,1.4802,0.000676802,0.000676802,0.000676802
32,9440.06,0.49115,0.53837,1.07311,0.90488,0.64537,0.65381,0.57793,0.69825,1.42177,1.27617,0.000643795,0.000643795,0.000643795
